scenario,time_bin,n_edges,nnz,total_weight,source_entropy_bits,destination_entropy_bits,edge_gini,top_edge_share,top_source_share,top_destination_share,unique_sources,unique_destinations,total_weight_robust_z,nnz_robust_z,source_entropy_bits_robust_z,destination_entropy_bits_robust_z,edge_gini_robust_z,top_edge_share_robust_z,top_source_share_robust_z,top_destination_share_robust_z,unique_sources_robust_z,unique_destinations_robust_z,anomaly_score,injected_anomaly
volume_burst,17,14976,14810,1105640679.0,11.642072144987171,11.645011259684301,0.47016174292452995,0.0003279103300793078,0.000952899997269366,0.0011358328468303398,3977,3995,2667.1786434741484,205.11340206185568,39.12414250661352,30.844899719762964,-4.033886738892311,-8.772894938901256,-7.416791681898401,-7.167386026773876,49.369565217391305,43.075471698113205,3034.7061246778853,True
volume_burst,18,5118,4952,23303864.0,10.967223491840656,11.002599293644716,0.4810727586359509,0.0014038444439943521,0.0021796814468192914,0.0024207144360265747,2881,2885,1.2784555398738402,1.8556701030927836,0.29941433135054785,2.268157768584355,-0.0024463637513190447,-2.1741998614132494,-1.0894115573075924,-0.17981483497491635,1.7173913043478262,1.1886792452830188,8.607768292532372,False
volume_burst,19,4918,4762,22358653.0,10.949839075815422,10.919480453571305,0.484211253374796,0.001826049181048608,0.002487269693751229,0.0025545814410197253,2824,2786,-1.0496905119053777,-2.0618556701030926,-0.7007287726156775,-1.4292603519130709,1.1571756862933609,0.4151783208199592,0.49703871132737404,0.5481940613216637,-0.7608695652173914,-2.547169811320755,1.4604110934689971,False
volume_burst,20,4963,4788,22907191.0,10.941554423213454,10.935877241945477,0.47874166369634197,0.0016906044918383926,0.002168314744483512,0.002254706829833479,2831,2794,0.3014116006926228,-1.5257731958762886,-1.177353248041703,-0.6998735799239675,-0.8637475025618327,-0.4155028448800363,-1.148037685431666,-1.082613953903861,-0.45652173913043476,-2.2452830188679247,0.3014116006926228,False
volume_burst,21,5083,4917,22836021.0,10.957588877176772,10.942190648811373,0.4813074046124979,0.0020142300622336966,0.0022143524916183955,0.002319055495701287,2831,2841,0.12611301180069606,1.134020618556701,-0.2548748320857785,-0.4190310546021479,0.08425145510762928,1.569290118460617,-0.9105884426924076,-0.7326666220801809,-0.45652173913043476,-0.4716981132075472,2.829423748818014,False
volume_burst,22,4832,4677,22125778.0,10.917747793657966,10.901557075132319,0.4853959358746385,0.001688799372388171,0.0026644034844786023,0.002697080301537871,2805,2771,-1.6232841452931455,-3.814432989690722,-2.5469728167426946,-2.226555215054949,1.5948963337477315,-0.42657362763188356,1.4106430271189108,1.3231455751367645,-1.5869565217391304,-3.1132075471698113,2.733788602255675,False
volume_burst,23,5069,4894,22638591.0,10.961109590282852,10.977391726542972,0.4768173343842155,0.0016432118058937503,0.002274964903955374,0.0025464040584504575,2861,2840,-0.36017616067272096,0.6597938144329897,-0.052324632586459245,1.1468365940669574,-1.5747554498653689,-0.7061617982558182,-0.5979673370625466,0.5037230039528063,0.8478260869565217,-0.5094339622641509,3.1581794994092753,False
scanner_fanout,0,4984,4819,22743208.0,10.97236988098921,10.942768063671457,0.47996522753947723,0.0018532565854386066,0.002878881466501999,0.002396759507277953,2864,2838,-0.014780671937239956,-1.011764705882353,1.7464688386801146,-0.5482137588298033,0.1308032621452477,0.46304099402511095,1.83266183177039,-0.20239613949048138,0.8809523809523809,-0.4074074074074074,4.923124045427997,False
scanner_fanout,1,5038,4882,22751709.0,10.967921341465512,10.956736259721069,0.48612468586947033,0.001666292409066941,0.002038747946363062,0.003921024130538941,2837,2866,0.014780671937239956,0.47058823529411764,1.4008886346155593,0.39642849006024167,3.617227825748588,-0.7153512816206348,-2.1614939006474856,10.686869110766548,-0.40476190476190477,1.6666666666666667,14.636221809340372,False
scanner_fanout,2,5004,4810,23033460.0,10.956303420315814,10.960056176749932,0.47843921914606025,0.001651640700094558,0.002180610294762489,0.0023663835133757587,2862,2861,0.9945404881916323,-1.223529411764706,0.49836241441867185,0.6209480971114664,-0.7329598907227454,-0.8076976391589015,-1.487053114163775,-0.4194006213851914,0.7857142857142857,1.2962962962962963,4.195861581732352,False
