regime,n_edges,sketch_width,sketch_depth,candidate_capacity,seconds,sketch_bytes,candidate_count,topk_recall,median_relative_error,max_relative_error
ctu13,2824636,8192,5,64,17.280359333,327680,64,0.95,0.00015681271423849944,1.0
ctu13,2824636,8192,5,512,19.082186167000003,327680,512,1.0,0.00015681271423849944,0.0003900897914922418
ctu13,2824636,8192,5,2048,19.700551833,327680,2048,1.0,0.00015681271423849944,0.0003900897914922418
ctu13,2824636,8192,5,8192,20.389499332999996,327680,8192,1.0,0.00015681271423849944,0.0003900897914922418
