source,regime,row_kind,method,n_edges,seconds_mean,seconds_min,edges_per_second,nnz,nnz_per_edge,density,total_weight,gini_edge_weight,output_matches_sparse,python,platform,prefix_edges,duplication_rate,nnz_growth_rate,edge_gini,top_edge_share,streaming_heavy_hitter_advice,selector_reason,observed_fastest_exact_method,recommendation_matches
real,official_prefix,exact_method,sparse_direct,5000000,2.638310666666666,2.5174432499999995,1986142.0907899318,5000000.0,1.0,2.0023196157948913e-07,200000000.0,0.0,True,3.9.6,macOS-26.5.1-arm64-arm-64bit,,,,,,,,,
real,official_prefix,exact_method,pandas_groupby,5000000,5.293350999666666,5.152697583,970365.5065059928,5000000.0,1.0,2.0023196157948913e-07,200000000.0,0.0,True,3.9.6,macOS-26.5.1-arm64-arm-64bit,,,,,,,,,
real,official_prefix,selector,sparse_direct,5000000,,,,,,,,,,3.9.6,macOS-26.5.1-arm64-arm-64bit,50000.0,0.0,1.0,0.0,2e-05,not_recommended_for_topk_without_large_candidates,early prefix is diffuse: nnz grows nearly with the stream and candidate discovery is likely limiting,sparse_direct,True
